time,precipitation
2019-01-04 14:00:00,2.4
2019-01-04 16:00:00,2.3
2019-01-20 21:00:00,3.8
2019-02-12 18:00:00,3.3
2019-02-21 03:00:00,2.4
2019-03-07 05:00:00,3.4
2019-03-12 16:00:00,2.3
2019-03-12 18:00:00,2.4
2019-03-22 20:00:00,3.8
2019-03-22 21:00:00,3.3
2019-05-23 17:00:00,3.5
2019-06-01 04:00:00,3.2
2019-06-03 05:00:00,2.3
2019-06-09 21:00:00,2.3
2019-06-21 21:00:00,2.3
2019-06-25 04:00:00,2.3
2019-07-01 08:00:00,2.3
2019-07-19 00:00:00,2.3
2019-07-30 19:00:00,3.3
2019-08-11 10:00:00,4.6
2019-08-11 15:00:00,3.9
2019-08-11 17:00:00,4.3
2019-08-16 01:00:00,5.3
2019-08-19 17:00:00,3.4
2019-08-19 18:00:00,3.3
2019-08-22 06:00:00,3.4
2019-08-22 07:00:00,4.6
2019-08-22 08:00:00,2.3
2019-08-23 01:00:00,3.8
2019-08-23 02:00:00,4.0
2019-08-28 19:00:00,5.1
2019-08-28 20:00:00,5.9
2019-08-28 21:00:00,6.5
2019-08-30 18:00:00,5.6
2019-08-30 19:00:00,4.2
2019-08-30 23:00:00,2.4
2019-08-31 01:00:00,4.4
2019-08-31 06:00:00,3.9
2019-09-01 00:00:00,3.9
2019-09-01 01:00:00,4.2
2019-09-01 17:00:00,3.5
2019-09-04 07:00:00,2.3
2019-09-04 08:00:00,4.0
2019-09-04 09:00:00,3.2
2019-09-11 10:00:00,2.3
2019-09-11 13:00:00,3.5
2019-09-12 18:00:00,3.2
2019-09-13 00:00:00,3.4
2019-09-13 01:00:00,3.8
2019-09-13 03:00:00,2.3
2019-09-13 05:00:00,3.4
2019-09-13 07:00:00,3.4
2019-09-14 00:00:00,2.3
2019-09-14 14:00:00,2.4
2019-09-14 16:00:00,3.4
2019-09-14 17:00:00,5.8
2019-09-14 18:00:00,8.3
2019-09-14 19:00:00,9.5
2019-09-14 20:00:00,5.0
2019-09-16 16:00:00,2.3
2019-10-22 13:00:00,3.4
2019-10-22 23:00:00,2.3
2019-10-24 21:00:00,3.2
2019-10-24 22:00:00,3.9
2019-12-03 12:00:00,2.3
2019-12-04 20:00:00,2.4
2019-12-05 16:00:00,2.3
2019-12-05 19:00:00,2.3
2019-12-08 09:00:00,2.3
2019-12-10 18:00:00,2.4
2019-12-10 19:00:00,3.3
2019-12-10 20:00:00,3.7
2019-12-10 22:00:00,4.3
2019-12-10 23:00:00,3.8
2019-12-11 00:00:00,4.9
2019-12-11 01:00:00,3.5
2019-12-29 06:00:00,3.7
2019-12-29 12:00:00,2.4
2019-12-29 17:00:00,3.2
2019-12-29 20:00:00,4.0
