time,temperature_2m
2019-01-28 04:00:00,-9.0
2019-01-28 05:00:00,-10.6
2019-01-28 06:00:00,-11.3
2019-01-28 07:00:00,-11.8
2019-01-28 08:00:00,-11.6
2019-01-28 09:00:00,-12.9
2019-01-28 10:00:00,-12.5
2019-01-28 11:00:00,-9.6
2019-02-02 04:00:00,-6.7
2019-02-02 05:00:00,-8.6
2019-02-02 06:00:00,-9.2
2019-02-02 07:00:00,-10.1
2019-02-02 08:00:00,-10.1
2019-02-02 09:00:00,-10.8
2019-02-02 10:00:00,-9.9
2019-02-02 11:00:00,-8.0
2019-02-02 19:00:00,-7.3
2019-02-02 20:00:00,-7.8
2019-02-02 21:00:00,-7.9
2019-02-02 22:00:00,-8.0
2019-02-03 01:00:00,-7.4
2019-02-05 10:00:00,-5.5
2019-02-15 13:00:00,10.8
2019-02-15 14:00:00,11.0
2019-02-26 13:00:00,11.8
2019-03-01 06:00:00,-0.8
2019-03-01 07:00:00,-1.0
2019-03-01 08:00:00,-1.0
2019-03-13 14:00:00,7.6
2019-03-13 15:00:00,7.7
2019-03-13 16:00:00,7.0
2019-03-19 07:00:00,-2.2
2019-03-25 01:00:00,-0.1
2019-03-25 02:00:00,-0.5
2019-03-25 04:00:00,-0.5
2019-03-25 05:00:00,-1.2
2019-03-25 06:00:00,-1.5
2019-03-25 07:00:00,-1.3
2019-03-31 02:00:00,-0.2
2019-03-31 03:00:00,-0.2
2019-03-31 06:00:00,0.0
2019-04-03 16:00:00,10.4
2019-04-04 09:00:00,11.2
2019-04-04 10:00:00,13.6
2019-04-04 11:00:00,15.2
2019-04-04 12:00:00,16.4
2019-04-04 13:00:00,16.9
2019-04-04 14:00:00,17.5
2019-04-04 15:00:00,17.4
2019-04-04 16:00:00,17.1
2019-04-04 17:00:00,16.2
2019-04-04 18:00:00,14.5
2019-04-04 19:00:00,11.9
2019-04-05 09:00:00,12.0
2019-04-05 10:00:00,14.6
2019-04-05 11:00:00,16.4
2019-04-05 12:00:00,17.6
2019-04-05 13:00:00,18.2
2019-04-05 14:00:00,18.3
2019-04-05 15:00:00,16.9
2019-04-05 16:00:00,15.1
2019-04-05 17:00:00,14.7
2019-04-05 18:00:00,13.4
2019-04-05 19:00:00,12.3
2019-04-05 20:00:00,10.0
2019-04-06 09:00:00,11.0
2019-04-06 10:00:00,11.9
2019-04-06 11:00:00,13.0
2019-04-06 12:00:00,13.1
2019-04-06 13:00:00,13.1
2019-04-06 14:00:00,13.5
2019-04-06 15:00:00,12.8
2019-04-06 16:00:00,12.1
2019-04-06 17:00:00,11.2
2019-04-06 18:00:00,9.7
2019-04-07 11:00:00,10.3
2019-04-07 12:00:00,11.3
2019-04-07 13:00:00,11.7
2019-04-07 14:00:00,12.1
2019-04-07 15:00:00,11.5
2019-04-07 16:00:00,11.1
2019-04-07 17:00:00,10.4
